ID,RA,Dec,Gal Long,Gal Lat,Ecl Long,Ecl Lat
100,289.990379867,66.5555555556,97.7340762829,21.9863107467,9.15465988733,82.0869035596
101,300.899470776,66.5555555556,99.4959315847,17.9800413092,14.2101985399,77.8384461287
102,311.808561685,66.5555555556,101.876277346,14.2970735529,19.2991705019,73.6841676497
103,322.717652594,66.5555555556,104.802561213,11.0349578642,24.4380980295,69.6577830698
104,333.626743503,66.5555555556,108.200532869,8.28332343819,29.6397079631,65.793285602
105,344.535834412,66.5555555556,111.988027873,6.12174329779,34.9144504203,62.1248682883
106,355.444925321,66.5555555556,116.070974941,4.61617130523,40.2705182469,58.6867403462
107,5.31226634578,61.6944444444,119.360756093,-0.967800140691,39.5956870249,52.2181456318
108,14.7859505563,61.6944444444,123.845462678,-1.16363390205,45.1751470179,49.4352767166
109,24.2596347668,61.6944444444,128.310277601,-0.700194963193,50.7449415839,46.9121243193
110,33.7333189774,61.6944444444,132.659153715,0.40973880028,56.3262851766,44.6726402359
111,43.2070031879,61.6944444444,136.803109737,2.13640410932,61.9315965326,42.7390459834
112,52.6806873984,61.6944444444,140.664233182,4.43568780174,67.566516594,41.1313707573
113,62.1543716089,61.6944444444,144.177054448,7.25252363105,73.2313235053,39.8669316841
114,71.6280558195,61.6944444444,147.287226793,10.5243019998,78.9220746866,38.9598089651
115,81.10174003,61.6944444444,149.948011167,14.1836665859,84.6316578489,38.4203684609
116,90.5754242405,61.6944444444,152.115262859,18.1602940955,90.3508418179,38.254881375
117,100.049108451,61.6944444444,153.741517052,22.3814570462,96.0693581437,38.4652823987
118,109.522792662,61.6944444444,154.769561264,26.7712866817,101.77700639,39.0490935508
119,118.996476872,61.6944444444,155.125782498,31.2486752798,107.464757544,39.9995224448
120,128.470161083,61.6944444444,154.71384009,35.7237242793,113.125831179,41.3057237517
121,137.943845293,61.6944444444,153.410238832,40.0926530574,118.756742857,42.9531945397
122,147.417529504,61.6944444444,151.065821723,44.2313427433,124.358358724,44.9242607416
123,156.891213714,61.6944444444,147.521771161,47.9886375633,129.937057174,47.1986044644
124,166.364897925,61.6944444444,142.654384254,51.1828590287,135.506193342,49.7537795276
125,175.838582135,61.6944444444,136.461599764,53.6089500108,141.088220185,52.5656626757
126,185.312266346,61.6944444444,129.175807231,55.06632014,146.718109524,55.6087850786
127,194.785950556,61.6944444444,121.322934649,55.4097275468,152.449302457,58.8564734355
128,204.259634767,61.6944444444,113.620389016,54.6017333796,158.364709476,62.2806819807
129,213.733318977,61.6944444444,106.732112567,52.7283935117,164.5983698,65.8512644412
130,223.207003188,61.6944444444,101.066061253,49.964521456,171.381489404,69.5340654739
131,232.680687398,61.6944444444,96.7464625584,46.517523889,179.150341268,73.2860799377
132,242.154371609,61.6944444444,93.708676591,42.5849235717,188.832632859,77.0419278822
133,251.628055819,61.6944444444,91.80679173,38.3360264128,202.724926565,80.6688621614
134,261.10174003,61.6944444444,90.8825203685,33.9102718612,227.293896404,83.7829984414
135,270.575424241,61.6944444444,90.7962951788,29.4226685547,273.143468819,85.1281787703
136,280.049108451,61.6944444444,91.4359524532,24.9706392762,316.597009887,83.4691163747
137,289.522792662,61.6944444444,92.7150918587,20.6399810065,339.305585569,80.2539524883
138,298.996476872,61.6944444444,94.5675717978,16.5093270654,352.48634556,76.5997519325
139,308.470161083,61.6944444444,96.9409411924,12.6530941974,1.86313929275,72.8392988816
140,317.943845293,61.6944444444,99.7898384763,9.14301792446,9.48102240695,69.0924839849
141,327.417529504,61.6944444444,103.069737415,6.04835427632,16.1821710146,65.4207233124
142,336.891213714,61.6944444444,106.731340542,3.43480773421,22.3689794551,61.8655493102
143,346.364897925,61.6944444444,110.716092663,1.36230376321,28.257284675,58.4604918694
144,355.838582135,61.6944444444,114.953477254,-0.1181191542,33.973332458,55.2353986024
145,4.59460557725,56.8333333333,118.398581995,-5.74714137452,34.3863375675,48.6433948327
146,12.9666986005,56.8333333333,122.990910409,-6.0383651323,39.8910970375,45.9893397824
147,21.3387916238,56.8333333333,127.582171158,-5.73186261764,45.3396068212,43.539097323
148,29.710884647,56.8333333333,132.089990573,-4.83508347176,50.7606861571,41.3132565997
149,38.0829776703,56.8333333333,136.437528557,-3.369287156,56.1742901873,39.331038818
150,46.4550706935,56.8333333333,140.557697431,-1.36759307902,61.5934739583,37.6101248728
151,54.8271637168,56.8333333333,144.395339158,1.12774923633,67.0257728465,36.1663892019
152,63.19925674,56.8333333333,147.907175624,4.06831144526,72.4742608716,35.0135813898
153,71.5713497633,56.8333333333,151.059861199,7.40216090416,77.9384498533,34.1629933001
154,79.9434427865,56.8333333333,153.826710521,11.0759210769,83.4151284751,33.6231475009
155,88.3155358098,56.8333333333,156.183645901,15.036054534,88.8991956315,33.3995397696
156,96.6876288331,56.8333333333,158.10471146,19.2293308466,94.3845100542,33.4944630295
157,105.059721856,56.8333333333,159.557251995,23.6024953585,99.8647558415,33.9069317194
158,113.43181488,56.8333333333,160.496637301,28.1011399061,105.334311044,34.6327148574
159,121.803907903,56.8333333333,160.860286386,32.6677066023,110.789104352,35.664474199
160,130.176000926,56.8333333333,160.560801348,37.2384462253,116.227453276,36.9919925221
161,138.548093949,56.8333333333,159.478489602,41.7390296072,121.65089565,38.6024676655
162,146.920186973,56.8333333333,157.455009618,46.0784514314,127.065054515,40.4808413553
163,155.292279996,56.8333333333,154.293516109,50.1411103698,132.480615594,42.6101280369
164,163.664373019,56.8333333333,149.778201752,53.7781205216,137.914551416,44.971706799
165,172.036466042,56.8333333333,143.736835287,56.802193791,143.391807934,47.5455368672
166,180.408559066,56.8333333333,136.169663544,58.9965629775,148.947801743,50.3102504831
167,188.780652089,56.8333333333,127.416278232,60.1526378186,154.632305294,53.2430603904
168,197.152745112,56.8333333333,118.213922382,60.1373278428,160.515715581,56.3193818191
169,205.524838135,56.8333333333,109.483225209,58.9525176358,166.699493203,59.5119888252
170,213.896931159,56.8333333333,101.952651875,56.7341346088,173.334097079,62.7893536613
171,222.269024182,56.8333333333,95.9514625299,53.69173328,180.650756219,66.1124431004
172,230.641117205,56.8333333333,91.4733698016,50.0416466901,189.019099537,69.428400078
173,239.013210228,56.8333333333,88.3437199454,45.9701997668,199.051157987,72.6576142125
174,247.385303252,56.8333333333,86.3466556629,41.6253309413,211.769257256,75.6666763266
175,255.757396275,56.8333333333,85.2861972677,37.1219013088,228.733662195,78.2154252919
176,264.129489298,56.8333333333,85.005037828,32.5503974001,251.37074684,79.8916965395
177,272.501582321,56.8333333333,85.3844029234,27.9848092826,278.030031069,80.2038901083
178,280.873675345,56.8333333333,86.3376227877,23.4886793463,302.803643776,79.0301101962
179,289.245768368,56.8333333333,87.8026580209,19.1194518403,321.978324889,76.7751931448
180,297.617861391,56.8333333333,89.7352561685,14.9314844402,336.20560927,73.9152630891
181,305.989954414,56.8333333333,92.1029970549,10.9780205598,347.174736656,70.7546031362
182,314.362047438,56.8333333333,94.8800315472,7.31229772612,356.125991333,67.4617932872
183,322.734140461,56.8333333333,98.0422697115,3.98785854486,3.81451047461,64.1338399434
184,331.106233484,56.8333333333,101.562903773,1.05806205267,10.6922639912,60.8323428326
185,339.478326507,56.8333333333,105.408370141,-1.42522005438,17.0376317229,57.6009343962
186,347.850419531,56.8333333333,109.535103743,-3.413682271,23.0289068586,54.4736904063
187,356.222512554,56.8333333333,113.887632452,-4.86527188777,28.7846718515,51.479332667
188,4.07472130602,51.9722222222,117.440671097,-10.5244772618,29.9108007304,44.8567805635
189,11.574721306,51.9722222222,122.125982001,-10.8914833156,35.2644074796,42.3437957594
190,19.074721306,51.9722222222,126.824039747,-10.7115491198,40.5454688306,39.9903805045
191,26.574721306,51.9722222222,131.460920696,-9.98869960689,45.7822301599,37.8147255931
192,34.074721306,51.9722222222,135.967003554,-8.73876763786,50.9957247801,35.833848076
193,41.574721306,51.9722222222,140.281288988,-6.98791610268,56.2011614643,34.0635691787
194,49.074721306,51.9722222222,144.354044065,-4.77039964026,61.4089382315,32.5183991172
195,56.574721306,51.9722222222,148.147504526,-2.12600950136,66.6254284022,31.2113584756
196,64.074721306,51.9722222222,151.634850932,0.902377147748,71.8536404163,30.153762282
197,71.574721306,51.9722222222,154.797953898,4.27084079053,77.0938209174,29.3549914658
198,79.074721306,51.9722222222,157.624425098,7.93590107588,82.3440459762,28.822275335
199,86.574721306,51.9722222222,160.10438345,11.8554042532,87.6008253411,28.5605069044
200,94.074721306,51.9722222222,162.227146553,15.9888575004,92.8597283349,28.5721096051
201,101.574721306,51.9722222222,163.977855801,20.2972734103,98.1160276412,28.8569688808
202,109.074721306,51.9722222222,165.333868298,24.7425697199,103.365349443,29.412435668
203,116.574721306,51.9722222222,166.260597459,29.2865206968,108.604315865,30.2334014134
204,124.074721306,51.9722222222,166.706345272,33.8891809282,113.831168654,31.3124369864
205,131.574721306,51.9722222222,166.595549359,38.5065945317,119.046371272,32.6399814491
206,139.074721306,51.9722222222,165.819849965,43.0874517111,124.253199276,34.2045617808
207,146.574721306,51.9722222222,164.226771486,47.5681553378,129.458345457,35.9930215139
208,154.074721306,51.9722222222,161.60751342,51.8655649247,134.672586501,37.9907345475
209,161.574721306,51.9722222222,157.690647258,55.8667691663,139.911583045,40.181779392
210,169.074721306,51.9722222222,152.161854267,59.4165453721,145.196917739,42.5490475517
211,176.574721306,51.9722222222,144.753727421,62.3080136582,150.557521839,45.0742559683
212,184.074721306,51.9722222222,135.458838342,64.2929390579,156.031708716,47.7378250222
213,191.574721306,51.9722222222,124.814549079,65.1372409312,161.670136104,50.5185668918
214,199.074721306,51.9722222222,113.946671928,64.7201360722,167.540176119,53.3930982117
215,206.574721306,51.9722222222,104.095377585,63.1030926496,173.732401239,56.3348360283
216,214.074721306,51.9722222222,96.0197534746,60.493244572,180.3701885,59.312340566
217,221.574721306,51.9722222222,89.869927958,57.1430782342,187.623674091,62.286607926
218,229.074721306,51.9722222222,85.436737117,53.2765544875,195.728879112,65.2066682198
219,236.574721306,51.9722222222,82.4064928516,49.0660484597,205.009754593,68.0025544583
220,244.074721306,51.9722222222,80.4885089195,44.6375228676,215.889218401,70.5747593898
221,251.574721306,51.9722222222,79.4525393348,40.0830103055,228.842242618,72.7812744655
222,259.074721306,51.9722222222,79.1281148072,35.4718458538,244.18604663,74.4313687462
223,266.574721306,51.9722222222,79.3931413568,30.8588930571,261.62684619,75.312037598
224,274.074721306,51.9722222222,80.1619500826,26.2901839993,279.888764513,75.2727858795
225,281.574721306,51.9722222222,81.3755259111,21.8067358788,297.190978545,74.3209737508
226,289.074721306,51.9722222222,82.9940687154,17.4471552468,312.336121949,72.6164897941
227,296.574721306,51.9722222222,84.9913520314,13.2494313922,325.101106811,70.3729015928
228,304.074721306,51.9722222222,87.3502764087,9.25215212014,335.830383922,67.7772245555
